model,accuracy_mean,accuracy_std,f1_mean,f1_std,trust_balanced_mean,trust_balanced_std,trust_strict_mean,trust_strict_std
LogisticRegression,0.8446624143010671,0.0036763817206381323,0.6358484864745989,0.0067284765598023995,73.22999999999999,0.41856899072912435,29.948,0.2447365930955147
RandomForest,0.8554932306467775,0.0032918541748269228,0.6748327767187892,0.008592235106444366,74.806,0.15742934923323815,29.953999999999997,0.30374989711932476
XGBoost,0.8749027347450932,0.0027198456383290843,0.7142459616420568,0.006147558426765625,76.532,0.13090454537563176,29.668,0.22754340245324609
